word,answer,text_en,text_zh,text_zh_tw,text_ja
house,house,They bought a new {{}} near the beach.,他们在海滩附近买了一栋新房子。,他們在海灘附近買了一棟新房子。,彼らは海の近くに新しい家を買った。
keep,keep,Please {{}} your phone in your bag during class.,上课时请把手机放在包里。,上課時請把手機放在包裡。,授業中は携帯をかばんに入れておいてください。
water,water,Remember to drink enough {{}} every day.,记得每天喝足够的水。,記得每天喝足夠的水。,毎日十分な水を飲むのを忘れないで。
light,light,Could you turn on the {{}}? It is too dark here.,可以开一下灯吗？这里太暗了。,可以開一下燈嗎？這裡太暗了。,電気をつけてくれますか。ここは暗すぎます。
music,music,She listens to {{}} while she studies.,她读书时会听音乐。,她讀書時會聽音樂。,彼女は勉強しながら音楽を聴く。
happy,happy,The children were very {{}} to see the snow.,孩子们看到雪非常开心。,孩子們看到雪非常開心。,子供たちは雪を見てとても喜んだ。
money,money,He saved enough {{}} to buy a bicycle.,他存够了买自行车的钱。,他存夠了買腳踏車的錢。,彼は自転車を買うのに十分なお金を貯めた。
friend,friend,My best {{}} lives in another city now.,我最好的朋友现在住在另一个城市。,我最好的朋友現在住在另一個城市。,親友は今別の街に住んでいる。
school,school,The {{}} is closed during the summer holiday.,暑假期间学校不开放。,暑假期間學校不開放。,夏休みの間、学校は閉まっている。
teacher,teacher,Our English {{}} always tells funny stories.,我们的英文老师总是讲有趣的故事。,我們的英文老師總是講有趣的故事。,私たちの英語の先生はいつも面白い話をする。
student,student,Every {{}} must finish the homework by Friday.,每个学生都必须在周五前完成作业。,每個學生都必須在週五前完成作業。,すべての生徒は金曜までに宿題を終えなければならない。
morning,morning,I go for a run every {{}} before work.,我每天上班前都去跑步。,我每天上班前都去跑步。,私は毎朝仕事の前に走りに行く。
night,night,The stars are bright on a clear {{}}.,晴朗的夜晚星星很明亮。,晴朗的夜晚星星很明亮。,晴れた夜は星が明るい。
summer,summer,We often go swimming in the {{}}.,我们夏天常去游泳。,我們夏天常去游泳。,私たちは夏によく泳ぎに行く。
winter,winter,It snows a lot here in {{}}.,这里冬天经常下雪。,這裡冬天經常下雪。,ここは冬によく雪が降る。
river,river,A long {{}} flows through the middle of the town.,一条长长的河流穿过城镇中央。,一條長長的河流穿過城鎮中央。,長い川が町の中心を流れている。
mountain,mountain,They climbed the tall {{}} last weekend.,他们上周末爬了那座高山。,他們上週末爬了那座高山。,彼らは先週末その高い山に登った。
animal,animal,The lion is a wild {{}} from Africa.,狮子是来自非洲的野生动物。,獅子是來自非洲的野生動物。,ライオンはアフリカの野生動物だ。
doctor,doctor,You should see a {{}} if the pain continues.,如果一直疼你应该去看医生。,如果一直痛你應該去看醫生。,痛みが続くなら医者に診てもらうべきだ。
family,family,My whole {{}} gathers for dinner on Sundays.,我全家周日会聚在一起吃晚饭。,我全家週日會聚在一起吃晚飯。,私の家族は日曜に集まって夕食をとる。
garden,garden,She grows tomatoes in her small {{}}.,她在自己的小花园里种番茄。,她在自己的小花園裡種番茄。,彼女は小さな庭でトマトを育てている。
window,window,Please open the {{}} to let in fresh air.,请打开窗户让新鲜空气进来。,請打開窗戶讓新鮮空氣進來。,新鮮な空気を入れるために窓を開けてください。
travel,travel,They love to {{}} to new countries every year.,他们喜欢每年去新的国家旅行。,他們喜歡每年去新的國家旅行。,彼らは毎年新しい国へ旅行するのが好きだ。
dream,dream,It was always his {{}} to become a pilot.,成为飞行员一直是他的梦想。,成為飛行員一直是他的夢想。,パイロットになるのはずっと彼の夢だった。
color,color,Blue is her favorite {{}}.,蓝色是她最喜欢的颜色。,藍色是她最喜歡的顏色。,青は彼女の一番好きな色だ。
plant,plant,Don't forget to water the {{}} on the desk.,别忘了给桌上的植物浇水。,別忘了給桌上的植物澆水。,机の上の植物に水をやるのを忘れないで。
coffee,coffee,He drinks a cup of {{}} every morning.,他每天早上喝一杯咖啡。,他每天早上喝一杯咖啡。,彼は毎朝コーヒーを一杯飲む。
bridge,bridge,The old stone {{}} crosses the wide river.,那座古老的石桥横跨宽阔的河流。,那座古老的石橋橫跨寬闊的河流。,その古い石の橋は広い川を渡っている。
market,market,We buy fresh fruit at the {{}} on Saturdays.,我们周六在市场买新鲜水果。,我們週六在市場買新鮮水果。,私たちは土曜に市場で新鮮な果物を買う。
letter,letter,She wrote a long {{}} to her grandmother.,她给奶奶写了一封长信。,她給奶奶寫了一封長信。,彼女は祖母に長い手紙を書いた。
island,island,They spent a week on a quiet tropical {{}}.,他们在一个安静的热带岛屿上待了一周。,他們在一個安靜的熱帶島嶼上待了一週。,彼らは静かな南の島で一週間過ごした。
forest,forest,Many birds live in the deep green {{}}.,许多鸟儿住在深绿色的森林里。,許多鳥兒住在深綠色的森林裡。,多くの鳥が深い緑の森に住んでいる。
bottle,bottle,Please pass me that {{}} of water.,请把那瓶水递给我。,請把那瓶水遞給我。,その水のボトルを取ってください。
picture,picture,He painted a beautiful {{}} of the sunset.,他画了一幅美丽的日落画。,他畫了一幅美麗的日落畫。,彼は夕日の美しい絵を描いた。
weather,weather,The {{}} is warm and sunny today.,今天天气温暖晴朗。,今天天氣溫暖晴朗。,今日は天気が暖かく晴れている。
airport,airport,We arrived at the {{}} two hours before the flight.,我们在航班起飞前两小时到达机场。,我們在航班起飛前兩小時到達機場。,私たちは出発の二時間前に空港に着いた。
angry,angry,He was very {{}} when he missed the train.,他错过火车时非常生气。,他錯過火車時非常生氣。,彼は電車に乗り遅れてとても怒っていた。
apple,apple,She ate a red {{}} for breakfast.,她早餐吃了一个红苹果。,她早餐吃了一個紅蘋果。,彼女は朝食に赤いりんごを食べた。
arm,arm,He broke his {{}} while playing football.,他踢足球时弄断了手臂。,他踢足球時弄斷了手臂。,彼はサッカーをしていて腕を折った。
artist,artist,The young {{}} painted a picture of the sea.,那位年轻的艺术家画了一幅海的画。,那位年輕的藝術家畫了一幅海的畫。,その若い芸術家は海の絵を描いた。
baby,baby,The {{}} is sleeping in the next room.,宝宝正在隔壁房间睡觉。,寶寶正在隔壁房間睡覺。,赤ちゃんは隣の部屋で眠っている。
back,back,He hurt his {{}} when he lifted the box.,他搬箱子时伤到了背。,他搬箱子時傷到了背。,彼は箱を持ち上げて背中を痛めた。
bag,bag,She put the books into her {{}}.,她把书放进包里。,她把書放進包裡。,彼女は本をかばんに入れた。
ball,ball,The children kicked the {{}} across the field.,孩子们把球踢过操场。,孩子們把球踢過操場。,子供たちはボールを野原の向こうへ蹴った。
banana,banana,A monkey is eating a yellow {{}}.,一只猴子正在吃黄香蕉。,一隻猴子正在吃黃香蕉。,猿が黄色いバナナを食べている。
bank,bank,I went to the {{}} to save some money.,我去银行存了一些钱。,我去銀行存了一些錢。,私はお金を預けに銀行へ行った。
basket,basket,She carried the fruit in a small {{}}.,她用一个小篮子装水果。,她用一個小籃子裝水果。,彼女は小さなかごに果物を入れて運んだ。
bathroom,bathroom,He is washing his hands in the {{}}.,他正在浴室里洗手。,他正在浴室裡洗手。,彼は浴室で手を洗っている。
beach,beach,We built a sandcastle on the {{}}.,我们在海滩上堆了一座沙堡。,我們在海灘上堆了一座沙堡。,私たちは砂浜で砂の城を作った。
bear,bear,A big brown {{}} lives in the forest.,一只棕色的大熊住在森林里。,一隻棕色的大熊住在森林裡。,大きな茶色い熊が森に住んでいる。
bed,bed,She was too tired and went to {{}} early.,她太累了就早早上床睡觉。,她太累了就早早上床睡覺。,彼女は疲れて早くベッドに入った。
bedroom,bedroom,My {{}} has a big window facing the garden.,我的卧室有一扇朝花园的大窗。,我的臥室有一扇朝花園的大窗。,私の寝室には庭に面した大きな窓がある。
beer,beer,He drank a cold {{}} after work.,他下班后喝了一杯冰啤酒。,他下班後喝了一杯冰啤酒。,彼は仕事のあと冷たいビールを飲んだ。
belt,belt,He wears a black leather {{}} every day.,他每天都系一条黑色皮带。,他每天都繫一條黑色皮帶。,彼は毎日黒い革のベルトをしている。
big,big,They live in a {{}} house near the park.,他们住在公园附近一栋大房子里。,他們住在公園附近一棟大房子裡。,彼らは公園の近くの大きな家に住んでいる。
bike,bike,He rides his {{}} to school every morning.,他每天早上骑自行车上学。,他每天早上騎腳踏車上學。,彼は毎朝自転車で学校へ行く。
bird,bird,A small {{}} is singing on the tree.,一只小鸟在树上唱歌。,一隻小鳥在樹上唱歌。,小さな鳥が木の上で鳴いている。
black,black,She wore a long {{}} dress to the party.,她穿了一条黑色长裙去参加派对。,她穿了一條黑色長裙去參加派對。,彼女は黒い長いドレスでパーティーに行った。
blue,blue,The sky is clear and {{}} today.,今天天空晴朗湛蓝。,今天天空晴朗湛藍。,今日は空が晴れて青い。
boat,boat,They crossed the river in a small {{}}.,他们乘一艘小船过河。,他們乘一艘小船過河。,彼らは小さな船で川を渡った。
book,book,She is reading an interesting {{}} about animals.,她正在读一本有趣的动物书。,她正在讀一本有趣的動物書。,彼女は動物についての面白い本を読んでいる。
bowl,bowl,He ate a {{}} of hot soup for lunch.,他午餐吃了一碗热汤。,他午餐吃了一碗熱湯。,彼は昼食に温かいスープを一杯食べた。
box,box,Please put the toys back in the {{}}.,请把玩具放回盒子里。,請把玩具放回盒子裡。,おもちゃを箱に戻してください。
branch,branch,A bird built its nest on a high {{}}.,一只鸟在高高的树枝上筑巢。,一隻鳥在高高的樹枝上築巢。,鳥が高い枝に巣を作った。
bread,bread,She bought a loaf of fresh {{}} this morning.,她今天早上买了一条新鲜面包。,她今天早上買了一條新鮮麵包。,彼女は今朝焼きたてのパンを一斤買った。
break,break,Be careful not to {{}} the glass.,小心别打破玻璃杯。,小心別打破玻璃杯。,グラスを割らないように気をつけて。
bright,bright,The morning sun is very {{}} today.,今天早晨的阳光很明亮。,今天早晨的陽光很明亮。,今朝の日ざしはとても明るい。
brother,brother,My younger {{}} plays the guitar well.,我弟弟吉他弹得很好。,我弟弟吉他彈得很好。,私の弟はギターが上手だ。
brown,brown,The dog has soft {{}} fur.,那只狗有柔软的棕色毛。,那隻狗有柔軟的棕色毛。,その犬は柔らかい茶色の毛をしている。
build,build,They want to {{}} a new bridge over the river.,他们想在河上建一座新桥。,他們想在河上建一座新橋。,彼らは川に新しい橋を建てたい。
bus,bus,I take the {{}} to work every day.,我每天坐公车上班。,我每天坐公車上班。,私は毎日バスで通勤する。
butter,butter,He spread some {{}} on his warm bread.,他在温热的面包上抹了些黄油。,他在溫熱的麵包上抹了些奶油。,彼は温かいパンにバターを塗った。
button,button,She pressed the red {{}} to start the machine.,她按下红色按钮启动机器。,她按下紅色按鈕啟動機器。,彼女は赤いボタンを押して機械を動かした。
cake,cake,We ate a chocolate {{}} at the party.,我们在派对上吃了巧克力蛋糕。,我們在派對上吃了巧克力蛋糕。,私たちはパーティーでチョコレートケーキを食べた。
camera,camera,He took a photo with his new {{}}.,他用新相机拍了一张照片。,他用新相機拍了一張照片。,彼は新しいカメラで写真を撮った。
candy,candy,The child ate too much sweet {{}}.,那孩子吃了太多甜糖果。,那孩子吃了太多甜糖果。,その子は甘いお菓子を食べすぎた。
car,car,They drove their {{}} to the mountains.,他们开车去了山里。,他們開車去了山裡。,彼らは車で山へ行った。
card,card,She sent a birthday {{}} to her friend.,她给朋友寄了一张生日卡片。,她給朋友寄了一張生日卡片。,彼女は友達に誕生日カードを送った。
carry,carry,He helped me {{}} the heavy bags.,他帮我提沉重的袋子。,他幫我提沉重的袋子。,彼は重い袋を運ぶのを手伝ってくれた。
cat,cat,The {{}} is sleeping on the warm chair.,猫在温暖的椅子上睡觉。,貓在溫暖的椅子上睡覺。,猫は暖かい椅子で眠っている。
catch,catch,Try to {{}} the ball with both hands.,试着用双手接住球。,試著用雙手接住球。,両手でボールを取ってみて。
chair,chair,Please sit down on that soft {{}}.,请坐在那张软椅子上。,請坐在那張軟椅子上。,その柔らかい椅子に座ってください。
